event_date,event_location,event_name,event_link,fight_link,fight of the night,performance of the night,knockout of the night,weight_class,fighter1_name,fighter1_link,fighter1_outcome,fighter2_name,fighter2_link,fighter2_outcome,fighter1_height,fighter1_weight,fighter1_reach,fighter1_dob,fighter1_current_record,fighter2_height,fighter2_weight,fighter2_reach,fighter2_dob,fighter2_current_record,method,finish_round,finish_time,time_format,referee,details,fighter1_total_KD,fighter2_total_KD,fighter1_total_sig_str,fighter2_total_sig_str,fighter1_total_sig_str_pct,fighter2_total_sig_str_pct,fighter1_total_total_str,fighter2_total_total_str,fighter1_total_td,fighter2_total_td,fighter1_total_td_pct,fighter2_total_td_pct,fighter1_total_sub_att,fighter2_total_sub_att,fighter1_total_rev,fighter2_total_rev,fighter1_total_ctrl,fighter2_total_ctrl,fighter1_round1_KD,fighter2_round1_KD,fighter1_round1_sig_str,fighter2_round1_sig_str,fighter1_round1_sig_pct,fighter2_round1_sig_pct,fighter1_round1_total_str,fighter2_round1_total_str,fighter1_round1_td,fighter2_round1_td,fighter1_round1_td_pct,fighter2_round1_td_pct,fighter1_round1_sub_att,fighter2_round1_sub_att,fighter1_round1_rev,fighter2_round1_rev,fighter1_round1_ctrl,fighter2_round1_ctrl,fighter1_round1_head,fighter2_round1_head,fighter1_round1_body,fighter2_round1_body,fighter1_round1_leg,fighter2_round1_leg,fighter1_round1_distance,fighter2_round1_distance,fighter1_round1_clinch,fighter2_round1_clinch,fighter1_round1_ground,fighter2_round1_ground,fighter1_round2_KD,fighter2_round2_KD,fighter1_round2_sig_str,fighter2_round2_sig_str,fighter1_round2_sig_pct,fighter2_round2_sig_pct,fighter1_round2_total_str,fighter2_round2_total_str,fighter1_round2_td,fighter2_round2_td,fighter1_round2_td_pct,fighter2_round2_td_pct,fighter1_round2_sub_att,fighter2_round2_sub_att,fighter1_round2_rev,fighter2_round2_rev,fighter1_round2_ctrl,fighter2_round2_ctrl,fighter1_round2_head,fighter2_round2_head,fighter1_round2_body,fighter2_round2_body,fighter1_round2_leg,fighter2_round2_leg,fighter1_round2_distance,fighter2_round2_distance,fighter1_round2_clinch,fighter2_round2_clinch,fighter1_round2_ground,fighter2_round2_ground,fighter1_round3_KD,fighter2_round3_KD,fighter1_round3_sig_str,fighter2_round3_sig_str,fighter1_round3_sig_pct,fighter2_round3_sig_pct,fighter1_round3_total_str,fighter2_round3_total_str,fighter1_round3_td,fighter2_round3_td,fighter1_round3_td_pct,fighter2_round3_td_pct,fighter1_round3_sub_att,fighter2_round3_sub_att,fighter1_round3_rev,fighter2_round3_rev,fighter1_round3_ctrl,fighter2_round3_ctrl,fighter1_round3_head,fighter2_round3_head,fighter1_round3_body,fighter2_round3_body,fighter1_round3_leg,fighter2_round3_leg,fighter1_round3_distance,fighter2_round3_distance,fighter1_round3_clinch,fighter2_round3_clinch,fighter1_round3_ground,fighter2_round3_ground,fighter1_round4_KD,fighter2_round4_KD,fighter1_round4_sig_str,fighter2_round4_sig_str,fighter1_round4_sig_pct,fighter2_round4_sig_pct,fighter1_round4_total_str,fighter2_round4_total_str,fighter1_round4_td,fighter2_round4_td,fighter1_round4_td_pct,fighter2_round4_td_pct,fighter1_round4_sub_att,fighter2_round4_sub_att,fighter1_round4_rev,fighter2_round4_rev,fighter1_round4_ctrl,fighter2_round4_ctrl,fighter1_round4_head,fighter2_round4_head,fighter1_round4_body,fighter2_round4_body,fighter1_round4_leg,fighter2_round4_leg,fighter1_round4_distance,fighter2_round4_distance,fighter1_round4_clinch,fighter2_round4_clinch,fighter1_round4_ground,fighter2_round4_ground,fighter1_round5_KD,fighter2_round5_KD,fighter1_round5_sig_str,fighter2_round5_sig_str,fighter1_round5_sig_pct,fighter2_round5_sig_pct,fighter1_round5_total_str,fighter2_round5_total_str,fighter1_round5_td,fighter2_round5_td,fighter1_round5_td_pct,fighter2_round5_td_pct,fighter1_round5_sub_att,fighter2_round5_sub_att,fighter1_round5_rev,fighter2_round5_rev,fighter1_round5_ctrl,fighter2_round5_ctrl,fighter1_round5_head,fighter2_round5_head,fighter1_round5_body,fighter2_round5_body,fighter1_round5_leg,fighter2_round5_leg,fighter1_round5_distance,fighter2_round5_distance,fighter1_round5_clinch,fighter2_round5_clinch,fighter1_round5_ground,fighter2_round5_ground
"May 08, 2016","Rotterdam, Zuid-Holland, Netherlands",UFC Fight Night: Overeem vs Arlovski,http://ufcstats.com/event-details/a314687f372b2cec,http://ufcstats.com/fight-details/5838305c25a54ea1,False,True,False,Heavyweight Bout,Alistair Overeem,http://ufcstats.com/fighter-details/b4ad3a06ee4d660c,W,Andrei Arlovski,http://ufcstats.com/fighter-details/3738e68d2261e60f,L,"6' 4""",265 lbs,"80""","May 17, 1980",47-19-0 (1 NC),"6' 3""",240 lbs,"77""","Feb 04, 1979",34-24-0 (2 NC),KO/TKO,2,1:12,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance,1,0,23 of 30,16 of 33,76%,48%,33 of 41,29 of 46,1 of 1,0 of 0,100%,,0,0,0,0,1:19,0:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 08, 2016","Rotterdam, Zuid-Holland, Netherlands",UFC Fight Night: Overeem vs Arlovski,http://ufcstats.com/event-details/a314687f372b2cec,http://ufcstats.com/fight-details/d480d01418ae0143,False,True,False,Heavyweight Bout,Antonio Silva,http://ufcstats.com/fighter-details/8349d55cdecd393a,L,Stefan Struve,http://ufcstats.com/fighter-details/ebc1f40e00e0c481,W,"6' 4""",264 lbs,"82""","Sep 14, 1979",19-12-1,"6' 11""",265 lbs,"84""","Feb 18, 1988",33-13-0,KO/TKO,1,0:16,3 Rnd (5-5-5),Leon Roberts,Punch to Head At Distance,0,1,0 of 1,13 of 16,0%,81%,0 of 1,15 of 18,0 of 0,0 of 0,,,0,0,0,0,0:01,0:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 08, 2016","Rotterdam, Zuid-Holland, Netherlands",UFC Fight Night: Overeem vs Arlovski,http://ufcstats.com/event-details/a314687f372b2cec,http://ufcstats.com/fight-details/03b9922d777e430c,False,True,False,Welterweight Bout,Albert Tumenov,http://ufcstats.com/fighter-details/ff6a1f63c254127e,L,Gunnar Nelson,http://ufcstats.com/fighter-details/fd55393021a8c255,W,"5' 11""",170 lbs,"73""","Dec 26, 1991",18-4-0,"5' 11""",170 lbs,"72""","Jul 28, 1988",19-6-1,Submission,2,3:15,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,0,0,23 of 41,29 of 44,56%,65%,24 of 43,41 of 56,0 of 0,2 of 2,,100%,0,1,0,0,0:00,4:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 08, 2016","Rotterdam, Zuid-Holland, Netherlands",UFC Fight Night: Overeem vs Arlovski,http://ufcstats.com/event-details/a314687f372b2cec,http://ufcstats.com/fight-details/692ceb2ac5fa4427,False,True,False,Women's Bantamweight Bout,Germaine de Randamie,http://ufcstats.com/fighter-details/1d239d571e342453,W,Anna Elmose,http://ufcstats.com/fighter-details/1536a25e16fc299b,L,"5' 9""",135 lbs,"71""","Apr 24, 1984",10-5-0,"5' 3""",115 lbs,,"Oct 06, 1984",3-2-0,KO/TKO,1,3:46,3 Rnd (5-5-5),Rich Mitchell,Knee to Body In Clinch,1,0,18 of 29,6 of 10,62%,60%,23 of 34,32 of 43,0 of 0,0 of 5,,0%,0,0,0,0,0:34,1:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 08, 2016","Rotterdam, Zuid-Holland, Netherlands",UFC Fight Night: Overeem vs Arlovski,http://ufcstats.com/event-details/a314687f372b2cec,http://ufcstats.com/fight-details/61f80a1732d37288,False,False,False,Light Heavyweight Bout,Nikita Krylov,http://ufcstats.com/fighter-details/1091d4d957141094,W,Francimar Barroso,http://ufcstats.com/fighter-details/b69f24c500d783e7,L,"6' 3""",205 lbs,"77""","Mar 07, 1992",30-11-0,"6' 1""",205 lbs,"75""","Feb 28, 1980",19-7-0 (1 NC),Submission,2,3:11,3 Rnd (5-5-5),Lukasz Bosacki,Rear Naked Choke,0,0,58 of 88,22 of 36,65%,61%,115 of 152,34 of 51,0 of 2,2 of 7,0%,28%,1,0,1,0,4:02,1:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 08, 2016","Rotterdam, Zuid-Holland, Netherlands",UFC Fight Night: Overeem vs Arlovski,http://ufcstats.com/event-details/a314687f372b2cec,http://ufcstats.com/fight-details/c5990f9767b16c48,False,False,False,Women's Strawweight Bout,Karolina Kowalkiewicz,http://ufcstats.com/fighter-details/d7c3816669784109,W,Heather Clark,http://ufcstats.com/fighter-details/dd4c16777fb2ccf9,L,"5' 3""",115 lbs,"64""","Oct 15, 1985",16-10-0,"5' 6""",115 lbs,"64""","Sep 19, 1980",7-6-0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mark Collett 28 - 29. Peter Lavery 28 - 29. Paul Sutherland 27 - 30.,0,0,119 of 261,70 of 152,45%,46%,164 of 309,134 of 219,0 of 1,0 of 15,0%,0%,0,0,0,1,0:46,5:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 08, 2016","Rotterdam, Zuid-Holland, Netherlands",UFC Fight Night: Overeem vs Arlovski,http://ufcstats.com/event-details/a314687f372b2cec,http://ufcstats.com/fight-details/97e895b7c2cb9db4,False,False,False,Lightweight Bout,Rustam Khabilov,http://ufcstats.com/fighter-details/9b7694d064a8a0ad,W,Chris Wade,http://ufcstats.com/fighter-details/c8097968da5e5f13,L,"5' 8""",155 lbs,"73""","Nov 04, 1986",24-4-0,"5' 10""",155 lbs,"70""","Sep 30, 1987",12-3-0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,27 - 30. 28 - 29. 28 - 29.,0,1,50 of 73,25 of 58,68%,43%,79 of 110,42 of 76,6 of 9,0 of 0,66%,,0,0,1,1,6:37,2:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 08, 2016","Rotterdam, Zuid-Holland, Netherlands",UFC Fight Night: Overeem vs Arlovski,http://ufcstats.com/event-details/a314687f372b2cec,http://ufcstats.com/fight-details/6d47170d069df8bb,False,False,False,Middleweight Bout,Magnus Cedenblad,http://ufcstats.com/fighter-details/0e21976afc92e4d1,W,Garreth McLellan,http://ufcstats.com/fighter-details/f215cfbd4ba3c270,L,"6' 5""",185 lbs,"79""","Apr 10, 1982",14-5-0,"6' 1""",185 lbs,"72""","Sep 01, 1982",13-6-0,KO/TKO,2,0:47,3 Rnd (5-5-5),Lukasz Bosacki,Kick to Head At Distance,1,0,21 of 44,12 of 33,47%,36%,21 of 44,12 of 33,0 of 0,0 of 0,,,0,0,0,0,0:01,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 08, 2016","Rotterdam, Zuid-Holland, Netherlands",UFC Fight Night: Overeem vs Arlovski,http://ufcstats.com/event-details/a314687f372b2cec,http://ufcstats.com/fight-details/7786b5fafee61c36,False,False,False,Lightweight Bout,Jon Tuck,http://ufcstats.com/fighter-details/53ec9cb470e1a4ea,L,Josh Emmett,http://ufcstats.com/fighter-details/fba03cd6cc28dc41,W,"5' 11""",155 lbs,"73""","Aug 28, 1984",10-5-0,"5' 6""",145 lbs,"70""","Mar 04, 1985",19-6-0,Decision - Split,3,5:00,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge 28 - 29. Andreas Gruner 29 - 28. Maciej Motylewski 28 - 29.,0,0,53 of 180,54 of 152,29%,35%,54 of 181,54 of 153,0 of 1,0 of 2,0%,0%,0,0,0,0,0:06,0:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 08, 2016","Rotterdam, Zuid-Holland, Netherlands",UFC Fight Night: Overeem vs Arlovski,http://ufcstats.com/event-details/a314687f372b2cec,http://ufcstats.com/fight-details/711fcf95370fa90b,False,False,False,Lightweight Bout,Yan Cabral,http://ufcstats.com/fighter-details/7cdd3e5d3aa9cb39,L,Reza Madadi,http://ufcstats.com/fighter-details/e25bcbcdaf6537a1,W,"5' 11""",155 lbs,"73""","May 13, 1983",13-3-0,"5' 11""",155 lbs,"73""","Jun 20, 1978",14-6-0,KO/TKO,3,1:56,3 Rnd (5-5-5),Leon Roberts,Punch to Head At Distance,0,0,32 of 85,27 of 68,37%,39%,61 of 117,36 of 78,1 of 10,1 of 2,10%,50%,0,0,0,0,3:09,3:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
